                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.99656,                0.68899,                 1.0829,                0.90551,                0.86466,                0.90981,                0.67501,                0.96158,                0.59521,                 1.0881,              0.0081388,              0.0081388,              0.0081388
                     49,                0.99304,                0.67159,                 1.0758,                0.92113,                0.87057,                0.91584,                0.68424,                 0.9201,                0.57918,                 1.0647,              0.0080992,              0.0080992,              0.0080992
                     50,                0.97697,                0.66109,                 1.0718,                0.93695,                0.86706,                0.92695,                0.69129,                0.94178,                0.55173,                 1.0728,              0.0080596,              0.0080596,              0.0080596
                     51,                0.96929,                0.65316,                 1.0662,                0.93031,                 0.8535,                0.91728,                0.67849,                0.96527,                0.59251,                 1.1069,                0.00802,                0.00802,                0.00802
                     52,                0.96996,                0.65875,                 1.0729,                0.92492,                0.85857,                0.91807,                0.68946,                0.94039,                0.57058,                 1.0737,              0.0079804,              0.0079804,              0.0079804
                     53,                0.96436,                0.65418,                 1.0666,                0.92622,                 0.8447,                 0.9136,                 0.6769,                0.96333,                0.58894,                 1.0841,              0.0079408,              0.0079408,              0.0079408
                     54,                0.97115,                0.65163,                 1.0676,                0.92182,                0.86817,                0.92175,                0.68688,                0.92882,                0.57515,                 1.0657,              0.0079012,              0.0079012,              0.0079012
                     55,                0.95776,                0.64798,                 1.0638,                0.94096,                0.86239,                0.92211,                0.69379,                0.93918,                0.56464,                 1.0774,              0.0078616,              0.0078616,              0.0078616
                     56,                0.96441,                0.64775,                 1.0606,                0.94632,                0.86679,                 0.9289,                0.69408,                   0.92,                0.54034,                 1.0588,               0.007822,               0.007822,               0.007822
                     57,                0.95476,                0.62531,                 1.0564,                0.92746,                0.86782,                0.92483,                0.70275,                0.92809,                0.55486,                 1.0761,              0.0077824,              0.0077824,              0.0077824
                     58,                0.94847,                0.62536,                 1.0566,                0.94352,                0.86652,                0.93075,                0.70261,                0.94971,                0.54966,                 1.0686,              0.0077428,              0.0077428,              0.0077428
                     59,                0.95784,                0.63726,                 1.0592,                0.92525,                0.86738,                0.92393,                 0.6894,                0.93282,                0.57392,                 1.0605,              0.0077032,              0.0077032,              0.0077032
                     60,                0.93886,                0.62731,                 1.0529,                0.92765,                0.87478,                 0.9319,                0.70738,                0.89966,                0.54327,                 1.0433,              0.0076636,              0.0076636,              0.0076636
                     61,                0.93785,                 0.6261,                 1.0526,                 0.9374,                0.86465,                0.92952,                0.69701,                0.91932,                0.54988,                 1.0505,               0.007624,               0.007624,               0.007624
                     62,                 0.9319,                0.61781,                 1.0469,                0.95098,                0.85431,                0.92421,                0.70532,                0.91391,                0.54399,                 1.0527,              0.0075844,              0.0075844,              0.0075844
                     63,                0.94204,                0.62257,                 1.0496,                0.95356,                0.86417,                0.93261,                0.71147,                0.87469,                0.50997,                 1.0452,              0.0075448,              0.0075448,              0.0075448
